	pdb	id	n_atoms	total_time	elapsed_time	worker_time	json_size	probe_out	removal_distance	n_workers
0	kv1000/1FKM_A.pdb	2616113852730128683	2710	231.42524	2.443706	228.98153399999998	371615	8.0	2.4	1
1	kv1000/1AMX_A.pdb	12733183196022677555	1356	21.889347	0.7221069999999999	21.16724	24956	6.0	2.4	1
2	kv1000/1GU2_A.pdb	7368497015206663366	960	326.867423	0.311312	326.556111	327823	4.0	0.6	1
3	kv1000/1BU3_A.pdb	10147578578241479841	799	55.275994999999995	0.299277	54.976718000000005	29847	4.0	2.4	1
4	kv1000/1B63_A.pdb	1656191741770823082	2617	42.202028000000006	2.774	39.428028000000005	510837	8.0	2.4	1
5	kv1000/1FC5_B.pdb	922700586906935985	3033	226.468021	1.2975860000000001	225.170435	457651	4.0	1.2	1
6	kv1000/1D2P_A.pdb	17955038667343572159	2985	113.22306100000002	3.7065089999999996	109.516552	512351	8.0	2.4	1
7	kv1000/1EM2_A.pdb	17060002742589163678	1713	181.532737	1.605876	179.926861	293154	8.0	2.4	1
8	kv1000/1AOC_A.pdb	6099672296492908659	1377	29.233842	0.497551	28.736290999999998	260315	4.0	1.2	1
9	kv1000/1GRW_D.pdb	9441771073392916408	977	321.84941299999997	0.324536	321.524877	44368	4.0	2.4	1
10	kv1000/1GO3_F.pdb	8775898068120831512	835	299.677831	0.433708	299.244123	19455	4.0	2.4	1
11	kv1000/1GGE_D.pdb	9718141477487430931	5745	272.553661	4.66071	267.892951	1209413	6.0	2.4	1
12	kv1000/1D2N_A.pdb	6962605152425317799	1929	104.966877	0.768995	104.19788199999999	656361	4.0	0.6	1
13	kv1000/1I24_A.pdb	7589768115580442985	3031	402.596821	1.124452	401.472369	927881	4.0	0.6	1
14	kv1000/1GVN_A.pdb	11508804489703623629	737	327.734017	0.482299	327.25171800000004	21708	6.0	2.4	1
15	kv1000/1IOO_A.pdb	10538996746087847668	1625	437.369922	1.3869120000000001	435.98301	137206	8.0	2.4	1
16	kv1000/1A5T_A.pdb	2458021119759286608	2770	11.196415	1.12004	10.076375	1728905	4.0	0.0	1
17	kv1000/1H6P_B.pdb	9556461674873615922	1454	375.125243	0.617467	374.507776	1118934	4.0	0.0	1
18	kv1000/1CS0_C.pdb	11798471528199829034	8159	91.47930500000001	5.64076	85.838545	2824849	4.0	0.6	1
19	kv1000/1JDE_A.pdb	6541218724259922037	6716	497.951808	3.844904	494.106904	4565453	4.0	0.0	1
20	kv1000/1I2K_A.pdb	7410396747934798365	2078	407.96615499999996	0.7542449999999999	407.21191	1449875	4.0	0.0	1
21	kv1000/1EE0_A.pdb	13321347377373429348	2871	173.767377	1.510046	172.257331	1903811	4.0	0.0	1
22	kv1000/1GO3_F.pdb	2348046937228889582	835	302.02191	0.405105	301.616805	605089	4.0	0.0	1
23	kv1000/1G2W_A.pdb	1452381545328103558	2229	251.794651	1.312003	250.482648	331505	6.0	2.4	1
24	kv1000/1BCP_B.pdb	5841160437555950579	1528	50.307898	0.498863	49.809034999999994	170089	4.0	1.2	1
25	kv1000/1JQJ_D.pdb	13690276010146274657	2580	563.3517469999999	1.0538239999999999	562.2979230000001	2196717	4.0	0.0	1
26	kv1000/1IXC_A.pdb	17447692507310559836	2211	475.62962999999996	0.8783049999999999	474.751325	360737	4.0	1.2	1
27	kv1000/1DGJ_A.pdb	9784283634899619578	6854	144.522642	5.859756	138.66288600000001	3898233	4.0	0.0	1
28	kv1000/1E5R_A.pdb	9581000829115488055	2109	161.764249	0.811268	160.952981	141424	4.0	2.4	1
29	kv1000/1JID_A.pdb	14642726142766587466	917	538.315279	0.266838	538.048441	125715	4.0	1.2	1
30	kv1000/1GQK_B.pdb	16128906584001974312	5687	321.572583	2.666249	318.90633399999996	736427	4.0	1.2	1
31	kv1000/1FS0_G.pdb	985741407433024314	1714	246.302469	1.144077	245.158392	165682	6.0	2.4	1
32	kv1000/1IQV_A.pdb	10153095473677650588	1317	459.054877	0.436634	458.61824299999995	376901	4.0	0.6	1
33	kv1000/1F5A_A.pdb	387561190735573759	3724	203.269246	1.607947	201.66129899999999	232838	4.0	2.4	1
34	kv1000/1KU8_G.pdb	4076603909488557791	1039	639.270129	0.251266	639.018863	52889	4.0	2.4	1
35	kv1000/1FC5_B.pdb	6916838467061470334	3033	223.71864300000001	1.789641	221.929002	2154724	4.0	0.0	1
36	kv1000/1K3D_A.pdb	5545857766309326555	4126	574.001767	1.277058	572.724709	2511554	4.0	0.0	1
37	kv1000/1LTS_A.pdb	4763199008070244166	1511	662.517096	0.39931	662.117786	151170	4.0	1.2	1
38	kv1000/1JID_A.pdb	3037649703772321899	917	538.081377	0.290838	537.790539	235754	4.0	0.6	1
39	kv1000/1H21_A.pdb	8724757737793242156	1845	343.645647	0.737344	342.908303	312592	4.0	1.2	1
40	kv1000/1LYN_B.pdb	1647925840922039920	1047	671.6669929999999	1.018298	670.648695	44032	8.0	2.4	1
41	kv1000/1FNN_A.pdb	10727786416146623822	3044	241.98922400000004	1.39771	240.59151400000002	2113061	4.0	0.0	1
42	kv1000/1EPA_A.pdb	7494006104331534600	1202	186.119813	0.587816	185.531997	980276	4.0	0.0	1
43	kv1000/1GGE_D.pdb	18144607029987336822	5745	286.269504	3.6188519999999995	282.650652	2066058	4.0	0.6	1
44	kv1000/1K6M_A.pdb	17344322401182134233	3526	583.749435	2.100865	581.6485700000001	712249	6.0	2.4	1
45	kv1000/1H4R_B.pdb	9521273576683233949	2455	360.521617	2.543075	357.978542	465149	8.0	2.4	1
46	kv1000/1A96_D.pdb	15042386687523312356	1085	15.772557	1.351063	14.421494000000001	112734	8.0	2.4	1
47	kv1000/1GAN_A.pdb	10088424757908636517	1034	264.481656	0.245389	264.236267	89112	4.0	1.2	1
48	kv1000/1K7C_A.pdb	14351877948771369994	1734	591.046302	0.437432	590.60887	67613	4.0	2.4	1
49	kv1000/1H4R_B.pdb	18016607786811230051	2455	361.458581	0.967671	360.49091	1854193	4.0	0.0	1
50	kv1000/1KI1_B.pdb	12918677741147491360	2798	616.649937	1.405794	615.244143	518815	4.0	1.2	1
